filename,model,macro_f1,TP_LOC,FP_LOC,FN_LOC,precision_LOC,recall_LOC,f1_LOC,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
NR_1.S_18.03.1953.xmi,rule_based,0.07676616294076016,6,170,124,0.03409090909090909,0.046153846153846156,0.0392156862745098,0,0,203,0.0,0.0,0.0,15,38,89,0.2830188679245283,0.14423076923076922,0.19108280254777069
NR_1.S_18.03.1953.xmi,flair,0.12215823375960906,6,43,124,0.12244897959183673,0.046153846153846156,0.0670391061452514,58,334,145,0.14795918367346939,0.2857142857142857,0.1949579831932773,7,23,97,0.23333333333333334,0.0673076923076923,0.1044776119402985
NR_1.S_18.03.1953.xmi,spacy,0.2531907831978027,22,69,108,0.24175824175824176,0.16923076923076924,0.1990950226244344,42,174,161,0.19444444444444445,0.20689655172413793,0.20047732696897375,36,60,68,0.375,0.34615384615384615,0.35999999999999993
NR_1.S_18.05.1927.xmi,rule_based,0.0403931439530145,130,1855,975,0.0654911838790932,0.11764705882352941,0.08414239482200647,0,0,1135,0.0,0.0,0.0,13,79,597,0.14130434782608695,0.021311475409836064,0.037037037037037035
NR_1.S_18.05.1927.xmi,flair,0.11702868281815648,130,285,975,0.3132530120481928,0.11764705882352941,0.17105263157894735,163,754,972,0.1777535441657579,0.1436123348017621,0.15886939571150097,8,138,602,0.0547945205479452,0.013114754098360656,0.021164021164021163
NR_1.S_18.05.1927.xmi,spacy,0.17374724013705004,229,1040,876,0.18045705279747834,0.2072398190045249,0.1929233361415333,244,969,891,0.20115416323165705,0.21497797356828194,0.20783645655877342,60,326,550,0.15544041450777202,0.09836065573770492,0.12048192771084337
NR_1.S_19.05.1983.xmi,rule_based,0.0759724908661079,1,80,50,0.012345679012345678,0.0196078431372549,0.015151515151515152,0,0,196,0.0,0.0,0.0,15,37,74,0.28846153846153844,0.16853932584269662,0.2127659574468085
NR_1.S_19.05.1983.xmi,flair,0.0728903188382336,1,5,50,0.16666666666666666,0.0196078431372549,0.03508771929824561,37,345,159,0.0968586387434555,0.18877551020408162,0.12802768166089964,3,16,86,0.15789473684210525,0.033707865168539325,0.05555555555555555
NR_1.S_19.05.1983.xmi,spacy,0.26322261990370555,8,24,43,0.25,0.1568627450980392,0.1927710843373494,46,141,150,0.24598930481283424,0.23469387755102042,0.2402088772845953,28,40,61,0.4117647058823529,0.3146067415730337,0.35668789808917195
NR_1.S_19.12.1945.xmi,rule_based,0.027381125591514066,10,335,198,0.028985507246376812,0.04807692307692308,0.03616636528028933,0,0,307,0.0,0.0,0.0,4,13,153,0.23529411764705882,0.025477707006369428,0.04597701149425287
